corner	conf-2.mol2	tmp_ref.mol2	conf-14.mol2	conf-6.mol2	conf-5.mol2	conf-8.mol2	conf-1.mol2	conf-4.mol2	conf-7.mol2	conf-12.mol2	conf-13.mol2	conf-16.mol2	conf-11.mol2	conf-9.mol2	conf-10.mol2	conf-3.mol2	conf-15.mol2	
conf-2.mol2	0.0	0.634574651718	0.568145036697	0.919147729874	2.06462574005	1.60850775242	1.52390575409	1.39635515213	0.445203274488	1.23759520054	1.44164514542	1.46861839294	3.12409496307	2.96834778786	3.15191841125	1.36739003658	3.37420034409	
tmp_ref.mol2	0.634574651718	0.0	0.815986156464	0.818239808083	2.25395965576	1.25684130192	1.53220391273	0.943420708179	0.714154481888	1.02891218662	1.15531301498	1.3073117733	2.96740007401	2.81529688835	3.0067191124	1.3199698925	3.25150990486	
conf-14.mol2	0.568145036697	0.815986156464	0.0	1.03839123249	2.13310146332	1.54011404514	1.55509674549	1.40179419518	0.748829722404	1.27457547188	1.46296012402	1.37490165234	3.11931419373	2.96003127098	3.14656639099	1.44818949699	3.3877453804	
conf-6.mol2	0.919147729874	0.818239808083	1.03839123249	0.0	2.43862342834	1.02280950546	1.71328938007	1.35528373718	0.934032857418	1.40098953247	1.32520413399	1.05065917969	2.68903970718	2.5207529068	2.67489862442	1.58671414852	2.92015528679	
conf-5.mol2	2.06462574005	2.25395965576	2.13310146332	2.43862342834	0.0	2.82259964943	2.45196318626	2.78361296654	2.11744046211	2.20913887024	2.25009012222	2.63161110878	3.77177667618	3.78433394432	3.94005084038	2.43996310234	4.07386016846	
conf-8.mol2	1.60850775242	1.25684130192	1.54011404514	1.02280950546	2.82259964943	0.0	1.90576565266	1.32598221302	1.57903814316	1.63270759583	1.46222996712	1.21534049511	2.45177936554	2.38918685913	2.52334666252	1.80210626125	2.82246994972	
conf-1.mol2	1.52390575409	1.53220391273	1.55509674549	1.71328938007	2.45196318626	1.90576565266	0.0	1.7491492033	1.60309195518	1.69052231312	1.79343724251	1.87868106365	3.24948477745	3.19008135796	3.34774708748	1.08056247234	3.49971008301	
conf-4.mol2	1.39635515213	0.943420708179	1.40179419518	1.35528373718	2.78361296654	1.32598221302	1.7491492033	0.0	1.35656356812	1.46947097778	1.60290336609	1.56474423409	2.90653753281	2.9018228054	3.07872366905	1.32463157177	3.34952044487	
conf-7.mol2	0.445203274488	0.714154481888	0.748829722404	0.934032857418	2.11744046211	1.57903814316	1.60309195518	1.35656356812	0.0	1.30110239983	1.48014974594	1.48910069466	3.09416723251	2.94168615341	3.11846637726	1.43342280388	3.34532427788	
conf-12.mol2	1.23759520054	1.02891218662	1.27457547188	1.40098953247	2.20913887024	1.63270759583	1.69052231312	1.46947097778	1.30110239983	0.0	0.824297726154	1.09641194344	3.16117978096	3.04321932793	3.23308348656	1.7305971384	3.21002340317	
conf-13.mol2	1.44164514542	1.15531301498	1.46296012402	1.32520413399	2.25009012222	1.46222996712	1.79343724251	1.60290336609	1.48014974594	0.824297726154	0.0	1.17684662342	2.97955727577	2.7520711422	2.92728352547	1.85975348949	2.97610616684	
conf-16.mol2	1.46861839294	1.3073117733	1.37490165234	1.05065917969	2.63161110878	1.21534049511	1.87868106365	1.56474423409	1.48910069466	1.09641194344	1.17684662342	0.0	2.69513678551	2.60028672218	2.74928545952	1.90670108795	2.72316431999	
conf-11.mol2	3.12409496307	2.96740007401	3.11931419373	2.68903970718	3.77177667618	2.45177936554	3.24948477745	2.90653753281	3.09416723251	3.16117978096	2.97955727577	2.69513678551	0.0	1.12244737148	1.16463363171	3.18007326126	1.53853476048	
conf-9.mol2	2.96834778786	2.81529688835	2.96003127098	2.5207529068	3.78433394432	2.38918685913	3.19008135796	2.9018228054	2.94168615341	3.04321932793	2.7520711422	2.60028672218	1.12244737148	0.0	0.32641607523	3.12033653259	1.08465111256	
conf-10.mol2	3.15191841125	3.0067191124	3.14656639099	2.67489862442	3.94005084038	2.52334666252	3.34774708748	3.07872366905	3.11846637726	3.23308348656	2.92728352547	2.74928545952	1.16463363171	0.32641607523	0.0	3.29062867165	0.999595761299	
conf-3.mol2	1.36739003658	1.3199698925	1.44818949699	1.58671414852	2.43996310234	1.80210626125	1.08056247234	1.32463157177	1.43342280388	1.7305971384	1.85975348949	1.90670108795	3.18007326126	3.12033653259	3.29062867165	0.0	3.54133009911	
conf-15.mol2	3.37420034409	3.25150990486	3.3877453804	2.92015528679	4.07386016846	2.82246994972	3.49971008301	3.34952044487	3.34532427788	3.21002340317	2.97610616684	2.72316431999	1.53853476048	1.08465111256	0.999595761299	3.54133009911	0.0	
