corner	tmp_ref.mol2	conf-20.mol2	conf-25.mol2	conf-31.mol2	conf-1.mol2	conf-4.mol2	conf-35.mol2	conf-22.mol2	conf-29.mol2	conf-17.mol2	conf-15.mol2	conf-3.mol2	conf-11.mol2	conf-24.mol2	conf-9.mol2	conf-6.mol2	conf-13.mol2	conf-41.mol2	conf-5.mol2	conf-2.mol2	
tmp_ref.mol2	0.0	1.5405703783	3.33897852898	3.16269087791	1.81620645523	2.49900865555	2.19975376129	2.78264546394	3.08335971832	1.94894742966	1.9184037447	2.43457078934	2.47199440002	4.71301794052	2.12222790718	4.83200359344	2.26818060875	4.73617458344	2.69947290421	3.38651657104	
conf-20.mol2	1.5405703783	0.0	3.0524532795	3.00909280777	1.46961843967	2.15159296989	2.41109871864	2.72445726395	2.83588767052	1.32854628563	2.09311676025	2.44690585136	2.57768535614	4.91713094711	2.44665408134	5.0521607399	2.59957122803	4.78299570084	3.01319885254	2.95188856125	
conf-25.mol2	3.33897852898	3.0524532795	0.0	1.22540354729	2.37560510635	2.06238770485	3.46051740646	2.16386532784	2.03830647469	3.28767776489	3.75859642029	2.5046312809	2.188144207	4.41865873337	3.8970925808	5.21895074844	4.00068902969	4.66035413742	4.38236856461	2.5210916996	
conf-31.mol2	3.16269087791	3.00909280777	1.22540354729	0.0	2.04520964622	1.6786043644	3.33260607719	1.72050213814	1.66309738159	3.26652336121	3.64303731918	2.0979244709	1.81287145615	4.3543305397	3.86469817162	5.16934251785	3.9812541008	4.62439632416	4.39847278595	2.34473824501	
conf-1.mol2	1.81620645523	1.46961843967	2.37560510635	2.04520964622	0.0	0.835305690765	2.74936294556	1.74964165688	1.64560925961	2.02696990967	2.38801145554	1.75746154785	2.15120220184	4.88651847839	2.78352236748	5.18918991089	2.95096063614	4.71405124664	3.42080521584	2.50141334534	
conf-4.mol2	2.49900865555	2.15159296989	2.06238770485	1.6786043644	0.835305690765	0.0	3.24337244034	1.42994618416	0.945513784885	2.56938362122	2.97070074081	1.79333877563	2.34476613998	4.92855119705	3.32545828819	5.15170669556	3.47825932503	4.82218456268	3.92926049232	2.27085185051	
conf-35.mol2	2.19975376129	2.41109871864	3.46051740646	3.33260607719	2.74936294556	3.24337244034	0.0	3.14918780327	3.74628043175	1.76294410229	1.8264311552	2.59325313568	2.20867156982	4.7806019783	2.39389204979	5.14011621475	2.54581928253	5.04039382935	2.84042787552	3.26564526558	
conf-22.mol2	2.78264546394	2.72445726395	2.16386532784	1.72050213814	1.74964165688	1.42994618416	3.14918780327	0.0	1.51449155807	2.90213489532	3.25687932968	1.26405835152	2.37212896347	4.7985868454	3.77823448181	5.30000686646	3.945530653	4.92790174484	4.39250183105	1.8212646246	
conf-29.mol2	3.08335971832	2.83588767052	2.03830647469	1.66309738159	1.64560925961	0.945513784885	3.74628043175	1.51449155807	0.0	3.07762265205	3.50658750534	2.02194285393	2.62647438049	4.86733913422	3.69099998474	5.0927438736	3.82438278198	4.76984214783	4.31711912155	2.37274765968	
conf-17.mol2	1.94894742966	1.32854628563	3.28767776489	3.26652336121	2.02696990967	2.56938362122	1.76294410229	2.90213489532	3.07762265205	0.0	1.49540781975	2.37325954437	2.49204778671	4.94359207153	1.92282676697	5.04974889755	2.10677051544	4.99214220047	2.58492922783	2.95170450211	
conf-15.mol2	1.9184037447	2.09311676025	3.75859642029	3.64303731918	2.38801145554	2.97070074081	1.8264311552	3.25687932968	3.50658750534	1.49540781975	0.0	2.69332885742	2.71377897263	4.86058092117	1.63578999043	5.08932590485	1.81822955608	4.857421875	1.97167515755	3.39688324928	
conf-3.mol2	2.43457078934	2.44690585136	2.5046312809	2.0979244709	1.75746154785	1.79333877563	2.59325313568	1.26405835152	2.02194285393	2.37325954437	2.69332885742	0.0	1.74141442776	4.49199438095	2.98801374435	5.29054737091	3.14791989326	4.71063947678	3.65222716331	1.68333470821	
conf-11.mol2	2.47199440002	2.57768535614	2.188144207	1.81287145615	2.15120220184	2.34476613998	2.20867156982	2.37212896347	2.62647438049	2.49204778671	2.71377897263	1.74141442776	0.0	3.98892450333	2.70141363144	5.22859477997	2.80950307846	4.16855716705	3.27000498772	2.53522968292	
conf-24.mol2	4.71301794052	4.91713094711	4.41865873337	4.3543305397	4.88651847839	4.92855119705	4.7806019783	4.7985868454	4.86733913422	4.94359207153	4.86058092117	4.49199438095	3.98892450333	0.0	4.55869102478	4.04250526428	4.52733755112	2.15587186813	4.59572649002	4.82376098633	
conf-9.mol2	2.12222790718	2.44665408134	3.8970925808	3.86469817162	2.78352236748	3.32545828819	2.39389204979	3.77823448181	3.69099998474	1.92282676697	1.63578999043	2.98801374435	2.70141363144	4.55869102478	0.0	4.38879489899	0.236804679036	4.78307628632	1.24003446102	3.96195435524	
conf-6.mol2	4.83200359344	5.0521607399	5.21895074844	5.16934251785	5.18918991089	5.15170669556	5.14011621475	5.30000686646	5.0927438736	5.04974889755	5.08932590485	5.29054737091	5.22859477997	4.04250526428	4.38879489899	0.0	4.28041028976	4.69191217422	4.19492483139	5.52459001541	
conf-13.mol2	2.26818060875	2.59957122803	4.00068902969	3.9812541008	2.95096063614	3.47825932503	2.54581928253	3.945530653	3.82438278198	2.10677051544	1.81822955608	3.14791989326	2.80950307846	4.52733755112	0.236804679036	4.28041028976	0.0	4.76453018188	1.14881753922	4.09940814972	
conf-41.mol2	4.73617458344	4.78299570084	4.66035413742	4.62439632416	4.71405124664	4.82218456268	5.04039382935	4.92790174484	4.76984214783	4.99214220047	4.857421875	4.71063947678	4.16855716705	2.15587186813	4.78307628632	4.69191217422	4.76453018188	0.0	4.86300325394	4.88797855377	
conf-5.mol2	2.69947290421	3.01319885254	4.38236856461	4.39847278595	3.42080521584	3.92926049232	2.84042787552	4.39250183105	4.31711912155	2.58492922783	1.97167515755	3.65222716331	3.27000498772	4.59572649002	1.24003446102	4.19492483139	1.14881753922	4.86300325394	0.0	4.38342666626	
conf-2.mol2	3.38651657104	2.95188856125	2.5210916996	2.34473824501	2.50141334534	2.27085185051	3.26564526558	1.8212646246	2.37274765968	2.95170450211	3.39688324928	1.68333470821	2.53522968292	4.82376098633	3.96195435524	5.52459001541	4.09940814972	4.88797855377	4.38342666626	0.0	
