corner	conf-43.mol2	conf-6.mol2	conf-8.mol2	tmp_ref.mol2	conf-32.mol2	conf-2.mol2	conf-7.mol2	conf-10.mol2	conf-42.mol2	conf-33.mol2	conf-50.mol2	conf-37.mol2	conf-34.mol2	conf-26.mol2	conf-5.mol2	conf-40.mol2	conf-13.mol2	conf-16.mol2	conf-31.mol2	conf-36.mol2	
conf-43.mol2	0.0	2.33122730255	0.779633283615	0.60651999712	1.25396633148	1.20803833008	1.77455174923	1.84980666637	1.22060310841	1.16410052776	1.99492204189	2.25215220451	2.21590971947	2.36773753166	1.18935668468	1.65539133549	2.26441121101	2.80937981606	1.96431803703	2.00779676437	
conf-6.mol2	2.33122730255	0.0	2.67590761185	2.12391161919	2.22181653976	2.46559238434	2.30535984039	2.23895382881	2.71937036514	2.79403734207	2.88677191734	0.685699045658	0.771965622902	1.58208525181	2.77754259109	2.1523873806	1.13622272015	3.03932094574	3.24374485016	2.87891554832	
conf-8.mol2	0.779633283615	2.67590761185	0.0	1.17713928223	1.32856881618	0.987666189671	1.68441367149	1.82305836678	0.77162116766	0.918936908245	1.79300224781	2.54765534401	2.4346818924	2.7157728672	0.770281791687	1.54088819027	2.5984852314	2.70831274986	1.63365185261	1.92755007744	
tmp_ref.mol2	0.60651999712	2.12391161919	1.17713928223	0.0	1.38967180252	1.41328501701	1.84582960606	1.89021933079	1.5041757822	1.48325490952	2.20800232887	2.0195889473	1.9933617115	2.17535734177	1.50658667088	1.71639573574	2.09829163551	2.91401171684	2.2558786869	2.19091105461	
conf-32.mol2	1.25396633148	2.22181653976	1.32856881618	1.38967180252	0.0	0.820256233215	2.01307678223	2.07788991928	1.15846586227	1.2836534977	2.11722326279	2.03638529778	1.98649132252	2.52827596664	1.53430175781	1.85408627987	2.19340276718	2.27108740807	1.76057851315	2.22334814072	
conf-2.mol2	1.20803833008	2.46559238434	0.987666189671	1.41328501701	0.820256233215	0.0	1.8285574913	1.94472491741	0.561868548393	0.93815356493	1.91690337658	2.30663108826	2.18823242188	2.68168997765	1.24376404285	1.65355479717	2.35871982574	2.38537883759	1.55376708508	2.02946066856	
conf-7.mol2	1.77455174923	2.30535984039	1.68441367149	1.84582960606	2.01307678223	1.8285574913	0.0	0.241266667843	1.89696264267	2.14563369751	1.52661681175	2.06665492058	2.06889796257	1.87921607494	2.11200380325	0.85156840086	2.03758835793	2.48359322548	2.62392902374	1.48657155037	
conf-10.mol2	1.84980666637	2.23895382881	1.82305836678	1.89021933079	2.07788991928	1.94472491741	0.241266667843	0.0	2.04619646072	2.28628468513	1.69061172009	1.98835599422	2.02799963951	1.7055683136	2.26127099991	0.994135200977	1.94309306145	2.52891111374	2.7631778717	1.61607098579	
conf-42.mol2	1.22060310841	2.71937036514	0.77162116766	1.5041757822	1.15846586227	0.561868548393	1.89696264267	2.04619646072	0.0	0.602556347847	1.81197631359	2.60271596909	2.45513224602	2.92561793327	0.902459025383	1.66764605045	2.64945673943	2.53215646744	1.27738618851	1.98857212067	
conf-33.mol2	1.16410052776	2.79403734207	0.918936908245	1.48325490952	1.2836534977	0.93815356493	2.14563369751	2.28628468513	0.602556347847	0.0	1.85022222996	2.72367358208	2.6057767868	3.08137845993	0.857071220875	1.88461196423	2.77748990059	2.68768191338	1.06850528717	2.04112577438	
conf-50.mol2	1.99492204189	2.88677191734	1.79300224781	2.20800232887	2.11722326279	1.91690337658	1.52661681175	1.69061172009	1.81197631359	1.85022222996	0.0	2.72866630554	2.65679955482	2.82248473167	1.9156986475	1.33531582355	2.73338627815	1.97960174084	1.85597705841	0.935332655907	
conf-37.mol2	2.25215220451	0.685699045658	2.54765534401	2.0195889473	2.03638529778	2.30663108826	2.06665492058	1.98835599422	2.60271596909	2.72367358208	2.72866630554	0.0	0.589947462082	1.40873014927	2.7431781292	1.99885356426	1.10160636902	2.73448848724	3.14317011833	2.71621441841	
conf-34.mol2	2.21590971947	0.771965622902	2.4346818924	1.9933617115	1.98649132252	2.18823242188	2.06889796257	2.02799963951	2.45513224602	2.6057767868	2.65679955482	0.589947462082	0.0	1.61779928207	2.60174608231	1.91216158867	1.17747962475	2.73381185532	3.03771281242	2.6701734066	
conf-26.mol2	2.36773753166	1.58208525181	2.7157728672	2.17535734177	2.52827596664	2.68168997765	1.87921607494	1.7055683136	2.92561793327	3.08137845993	2.82248473167	1.40873014927	1.61779928207	0.0	3.01599979401	2.06487250328	1.35354530811	2.91681480408	3.47299098969	2.72586846352	
conf-5.mol2	1.18935668468	2.77754259109	0.770281791687	1.50658667088	1.53430175781	1.24376404285	2.11200380325	2.26127099991	0.902459025383	0.857071220875	1.9156986475	2.7431781292	2.60174608231	3.01599979401	0.0	1.7199010849	2.89534521103	2.8136920929	1.36155390739	2.17290520668	
conf-40.mol2	1.65539133549	2.1523873806	1.54088819027	1.71639573574	1.85408627987	1.65355479717	0.85156840086	0.994135200977	1.66764605045	1.88461196423	1.33531582355	1.99885356426	1.91216158867	2.06487250328	1.7199010849	0.0	2.13886237144	2.35111141205	2.31413602829	1.45968949795	
conf-13.mol2	2.26441121101	1.13622272015	2.5984852314	2.09829163551	2.19340276718	2.35871982574	2.03758835793	1.94309306145	2.64945673943	2.77748990059	2.73338627815	1.10160636902	1.17747962475	1.35354530811	2.89534521103	2.13886237144	0.0	2.85687541962	3.23763632774	2.60140419006	
conf-16.mol2	2.80937981606	3.03932094574	2.70831274986	2.91401171684	2.27108740807	2.38537883759	2.48359322548	2.52891111374	2.53215646744	2.68768191338	1.97960174084	2.73448848724	2.73381185532	2.91681480408	2.8136920929	2.35111141205	2.85687541962	0.0	2.39929294586	2.17530250549	
conf-31.mol2	1.96431803703	3.24374485016	1.63365185261	2.2558786869	1.76057851315	1.55376708508	2.62392902374	2.7631778717	1.27738618851	1.06850528717	1.85597705841	3.14317011833	3.03771281242	3.47299098969	1.36155390739	2.31413602829	3.23763632774	2.39929294586	0.0	2.26102256775	
conf-36.mol2	2.00779676437	2.87891554832	1.92755007744	2.19091105461	2.22334814072	2.02946066856	1.48657155037	1.61607098579	1.98857212067	2.04112577438	0.935332655907	2.71621441841	2.6701734066	2.72586846352	2.17290520668	1.45968949795	2.60140419006	2.17530250549	2.26102256775	0.0	
