corner	conf-1.mol2	tmp_ref.mol2	conf-15.mol2	conf-63.mol2	conf-8.mol2	conf-9.mol2	conf-49.mol2	conf-36.mol2	conf-37.mol2	conf-73.mol2	conf-72.mol2	conf-28.mol2	conf-24.mol2	conf-66.mol2	conf-47.mol2	conf-75.mol2	conf-68.mol2	conf-10.mol2	conf-35.mol2	conf-34.mol2	
conf-1.mol2	0.0	0.642689168453	1.83325612545	0.858580768108	1.5981041193	2.17956209183	0.946134626865	3.03170156479	2.18294477463	1.75574088097	2.96059775352	1.47249150276	2.96702075005	1.25041913986	2.60071730614	2.57009363174	2.1238348484	0.602067887783	1.68792140484	2.27417588234	
tmp_ref.mol2	0.642689168453	0.0	1.97895777225	1.11612534523	1.81633424759	2.15760469437	1.25800144672	2.83119821548	2.06453728676	1.90446484089	2.88021612167	1.70784687996	2.85133767128	1.55866420269	2.47519397736	2.47790670395	2.07078623772	0.927823543549	1.45863556862	2.15787386894	
conf-15.mol2	1.83325612545	1.97895777225	0.0	1.78592276573	1.72078835964	2.16155362129	1.85583436489	2.82420492172	2.61005973816	1.9577101469	2.95160984993	2.39444971085	3.08320593834	2.03123950958	2.83437776566	2.64959192276	2.39569139481	1.93929123878	2.65845179558	2.70317482948	
conf-63.mol2	0.858580768108	1.11612534523	1.78592276573	0.0	1.37955236435	2.21039438248	0.510475277901	3.09200739861	2.32751321793	1.69320094585	2.88669705391	1.66655743122	2.90581870079	1.00620448589	2.70686769485	2.63114452362	1.95338463783	0.958089530468	1.88064014912	2.16787719727	
conf-8.mol2	1.5981041193	1.81633424759	1.72078835964	1.37955236435	0.0	2.94861102104	1.10074150562	3.64187479019	3.10356879234	2.13470292091	3.25756001472	1.7333894968	3.4396417141	0.972754776478	3.33587312698	3.29380488396	2.83067107201	1.64874982834	2.29265904427	3.04213142395	
conf-9.mol2	2.17956209183	2.15760469437	2.16155362129	2.21039438248	2.94861102104	0.0	2.59240293503	1.75014126301	1.32015633583	2.60855150223	1.96056175232	3.11121296883	1.87599778175	2.9928355217	1.47460496426	1.06739640236	1.14026284218	2.34153056145	2.81207466125	1.53035271168	
conf-49.mol2	0.946134626865	1.25800144672	1.85583436489	0.510475277901	1.10074150562	2.59240293503	0.0	3.40396380424	2.7120218277	1.70536828041	3.23191452026	1.39677107334	3.28536939621	0.50651538372	3.07731223106	3.01494836807	2.39827537537	0.988347351551	1.90777873993	2.59742474556	
conf-36.mol2	3.03170156479	2.83119821548	2.82420492172	3.09200739861	3.64187479019	1.75014126301	3.40396380424	0.0	1.89041674137	3.23471474648	2.13892841339	3.76683163643	2.11863636971	3.75015425682	1.88091623783	1.82713234425	2.13154363632	3.23206424713	2.90753865242	2.13137888908	
conf-37.mol2	2.18294477463	2.06453728676	2.61005973816	2.32751321793	3.10356879234	1.32015633583	2.7120218277	1.89041674137	0.0	2.85650467873	1.70689105988	3.17440366745	1.36549472809	3.12166237831	0.727149963379	1.12612342834	1.2257720232	2.42597794533	2.55760407448	0.821715116501	
conf-73.mol2	1.75574088097	1.90446484089	1.9577101469	1.69320094585	2.13470292091	2.60855150223	1.70536828041	3.23471474648	2.85650467873	0.0	3.30816912651	1.68743085861	3.3330411911	1.83910834789	3.07478356361	2.94144701958	2.58662867546	1.59891581535	2.16923093796	2.80869865417	
conf-72.mol2	2.96059775352	2.88021612167	2.95160984993	2.88669705391	3.25756001472	1.96056175232	3.23191452026	2.13892841339	1.70689105988	3.30816912651	0.0	3.65084433556	0.844856262207	3.56381583214	1.3846334219	1.58480226994	1.78149533272	3.12978649139	3.35329151154	1.62406527996	
conf-28.mol2	1.47249150276	1.70784687996	2.39444971085	1.66655743122	1.7333894968	3.11121296883	1.39677107334	3.76683163643	3.17440366745	1.68743085861	3.65084433556	0.0	3.72905278206	1.28380262852	3.46468949318	3.42989325523	3.04614233971	1.31211364269	1.95267570019	3.20412516594	
conf-24.mol2	2.96702075005	2.85133767128	3.08320593834	2.90581870079	3.4396417141	1.87599778175	3.28536939621	2.11863636971	1.36549472809	3.3330411911	0.844856262207	3.72905278206	0.0	3.65982270241	0.972420930862	1.32566511631	1.52465128899	3.12380290031	3.23698687553	1.19028687477	
conf-66.mol2	1.25041913986	1.55866420269	2.03123950958	1.00620448589	0.972754776478	2.9928355217	0.50651538372	3.75015425682	3.12166237831	1.83910834789	3.56381583214	1.28380262852	3.65982270241	0.0	3.46182584763	3.40977859497	2.8393406868	1.22842109203	2.06001353264	3.03266906738	
