corner	conf-3.mol2	conf-2.mol2	tmp_ref.mol2	conf-1.mol2	
conf-3.mol2	0.0	0.791611790657	0.893225848675	0.893314361572	
conf-2.mol2	0.791611790657	0.0	1.3361569643	1.33336651325	
tmp_ref.mol2	0.893225848675	1.3361569643	0.0	0.0353491976857	
conf-1.mol2	0.893314361572	1.33336651325	0.0353491976857	0.0	
