corner	conf-8.mol2	conf-3.mol2	conf-30.mol2	conf-28.mol2	conf-5.mol2	conf-2.mol2	conf-1.mol2	conf-24.mol2	conf-19.mol2	conf-7.mol2	conf-41.mol2	conf-18.mol2	conf-31.mol2	conf-37.mol2	conf-42.mol2	conf-12.mol2	conf-34.mol2	conf-22.mol2	conf-39.mol2	tmp_ref.mol2	
conf-8.mol2	0.0	2.17280936241	1.77669084072	1.64727556705	1.3154720068	2.13641452789	2.11413931847	1.96923351288	1.63005423546	0.697424530983	1.28792417049	0.868008553982	1.62907516956	1.62156295776	1.39069330692	1.76322364807	1.31864571571	1.69439315796	1.17732715607	1.78527724743	
conf-3.mol2	2.17280936241	0.0	1.39853274822	1.50238919258	1.66386604309	0.618921220303	0.899838209152	1.83300721645	1.65854454041	2.08778882027	2.23536896706	2.28073835373	1.64256203175	1.95565247536	2.1244020462	1.75090694427	2.23041963577	1.66929996014	2.03427481651	1.91572833061	
conf-30.mol2	1.77669084072	1.39853274822	0.0	0.739399433136	1.01622378826	1.5210609436	1.66418588161	2.24712538719	0.907553732395	1.71059262753	1.82914698124	1.90932798386	0.931463301182	1.3788459301	1.61916613579	1.12425792217	1.95600426197	1.02325630188	1.62284517288	2.32524585724	
conf-28.mol2	1.64727556705	1.50238919258	0.739399433136	0.0	0.794287800789	1.38927686214	1.5898900032	2.21551513672	0.839510500431	1.54809629917	1.70081281662	1.78982043266	0.956684887409	1.53572118282	1.56656122208	0.803843140602	1.84877586365	0.806322932243	1.64583516121	2.25324726105	
conf-5.mol2	1.3154720068	1.66386604309	1.01622378826	0.794287800789	0.0	1.57818460464	1.66348969936	2.10879206657	0.940772414207	1.23709654808	1.54238808155	1.55957210064	1.04473173618	1.48959219456	1.39817738533	1.0743612051	1.67405843735	1.03076660633	1.41420090199	2.03557753563	
conf-2.mol2	2.13641452789	0.618921220303	1.5210609436	1.38927686214	1.57818460464	0.0	0.737705230713	1.70803010464	1.57524108887	2.04141259193	2.16665959358	2.26324939728	1.67669272423	2.07872653008	2.08691930771	1.60023283958	2.23400783539	1.61589717865	2.13674116135	1.80696249008	
conf-1.mol2	2.11413931847	0.899838209152	1.66418588161	1.5898900032	1.66348969936	0.737705230713	0.0	1.70313918591	1.4002341032	2.06129813194	2.16139745712	2.31652021408	1.64512741566	2.17661476135	1.98598313332	1.59288609028	2.27642607689	1.75442838669	2.22925543785	1.74275147915	
conf-24.mol2	1.96923351288	1.83300721645	2.24712538719	2.21551513672	2.10879206657	1.70803010464	1.70313918591	0.0	2.14821076393	1.77259778976	1.40804684162	2.14929199219	2.24001073837	2.62687849998	2.48837924004	2.28397536278	1.67858207226	2.2916893959	1.99518728256	2.02499675751	
conf-19.mol2	1.63005423546	1.65854454041	0.907553732395	0.839510500431	0.940772414207	1.57524108887	1.4002341032	2.14821076393	0.0	1.5992282629	1.68596541882	1.90308654308	0.895296275616	1.65523970127	1.39148879051	0.819362640381	1.95914566517	1.11910414696	1.8150498867	2.16748905182	
conf-7.mol2	0.697424530983	2.08778882027	1.71059262753	1.54809629917	1.23709654808	2.04141259193	2.06129813194	1.77259778976	1.5992282629	0.0	0.970813572407	1.07315421104	1.55807495117	1.85729718208	1.6979341507	1.69910228252	0.998920321465	1.58941948414	0.902694344521	1.91329503059	
