corner	conf-88.mol2	conf-39.mol2	conf-35.mol2	conf-36.mol2	conf-17.mol2	conf-48.mol2	conf-45.mol2	conf-24.mol2	conf-41.mol2	conf-43.mol2	conf-30.mol2	conf-15.mol2	conf-28.mol2	conf-69.mol2	conf-10.mol2	conf-44.mol2	conf-46.mol2	conf-71.mol2	conf-82.mol2	tmp_ref.mol2	
conf-88.mol2	0.0	0.808507740498	0.96282607317	1.67355120182	1.81826722622	1.226136446	0.913846790791	1.57196617126	1.5479054451	1.41337835789	1.55098867416	1.39339411259	1.39724087715	2.20631790161	1.81951403618	1.83341872692	1.75014102459	2.24746465683	1.90919208527	1.72152042389	
conf-39.mol2	0.808507740498	0.0	1.18710386753	1.37781608105	1.55145168304	1.29863357544	1.0116404295	1.37124478817	1.36774277687	1.49327349663	1.79899835587	0.978487491608	1.02659153938	2.33348035812	1.5928798914	2.02578473091	1.79180109501	2.34150505066	1.95422399044	1.53808522224	
conf-35.mol2	0.96282607317	1.18710386753	0.0	1.69729137421	1.73409307003	1.60955393314	0.982915818691	1.97360098362	1.80303502083	0.95998686552	1.62277305126	1.37188565731	1.03298902512	2.39064836502	1.39526700974	1.77698040009	2.06565928459	2.46946358681	2.22397637367	1.92067337036	
conf-36.mol2	1.67355120182	1.37781608105	1.69729137421	0.0	0.708127617836	2.03857064247	1.65558516979	1.09557425976	1.84842383862	1.80594480038	1.47960066795	1.54419863224	1.44741368294	2.67334198952	1.80208098888	2.20268034935	1.68497753143	2.72478437424	1.89394664764	1.58955025673	
conf-17.mol2	1.81826722622	1.55145168304	1.73409307003	0.708127617836	0.0	2.19271826744	1.55802464485	1.36641538143	2.0076982975	1.65729510784	1.62496995926	1.40208292007	1.5191218853	2.75241065025	1.6339250803	2.32637810707	1.73836362362	2.86227941513	1.99071240425	1.54775357246	
conf-48.mol2	1.226136446	1.29863357544	1.60955393314	2.03857064247	2.19271826744	0.0	1.66168868542	1.69158554077	1.7198587656	2.15280056	1.71751129627	1.96571147442	1.97152793407	1.89104866982	2.28584265709	1.88137185574	1.61927723885	1.83470010757	1.5145175457	1.92724561691	
conf-45.mol2	0.913846790791	1.0116404295	0.982915818691	1.65558516979	1.55802464485	1.66168868542	0.0	1.7792403698	1.74708414078	0.967807233334	1.82433462143	0.866828918457	1.26680254936	2.45573925972	1.39351654053	2.01739478111	1.95803153515	2.55852460861	2.109405756	1.63250362873	
conf-24.mol2	1.57196617126	1.37124478817	1.97360098362	1.09557425976	1.36641538143	1.69158554077	1.7792403698	0.0	1.51063370705	2.24566936493	1.26899373531	1.85258424282	1.95138573647	2.22572350502	2.2966029644	1.98840868473	1.04347252846	2.2315762043	1.24302196503	1.26995265484	
conf-41.mol2	1.5479054451	1.36774277687	1.80303502083	1.84842383862	2.0076982975	1.7198587656	1.74708414078	1.51063370705	0.0	1.96370685101	2.06761670113	1.70667386055	1.67544281483	1.68841850758	2.11624956131	1.40366637707	1.91640603542	1.66941487789	2.06699991226	0.953141689301	
conf-43.mol2	1.41337835789	1.49327349663	0.95998686552	1.80594480038	1.65729510784	2.15280056	0.967807233334	2.24566936493	1.96370685101	0.0	2.13821673393	1.10616397858	1.00926232338	2.5885219574	1.07873499393	2.04406428337	2.40866613388	2.68458604813	2.59556317329	1.92038249969	
conf-30.mol2	1.55098867416	1.79899835587	1.62277305126	1.47960066795	1.62496995926	1.71751129627	1.82433462143	1.26899373531	2.06761670113	2.13821673393	0.0	2.24459791183	2.12448716164	2.33794045448	2.32175850868	1.88188230991	1.08328998089	2.396027565	1.29150986671	1.88061463833	
conf-15.mol2	1.39339411259	0.978487491608	1.37188565731	1.54419863224	1.40208292007	1.96571147442	0.866828918457	1.85258424282	1.70667386055	1.10616397858	2.24459791183	0.0	0.945077836514	2.63639426231	1.1624070406	2.27402901649	2.24146723747	2.69960141182	2.39059209824	1.5896178484	
conf-28.mol2	1.39724087715	1.02659153938	1.03298902512	1.44741368294	1.5191218853	1.97152793407	1.26680254936	1.95138573647	1.67544281483	1.00926232338	2.12448716164	0.945077836514	0.0	2.61201524734	1.09248411655	2.12004232407	2.32340621948	2.65176105499	2.51839065552	1.82653057575	
conf-69.mol2	2.20631790161	2.33348035812	2.39064836502	2.67334198952	2.75241065025	1.89104866982	2.45573925972	2.22572350502	1.68841850758	2.5885219574	2.33794045448	2.63639426231	2.61201524734	0.0	2.85078954697	1.62106215954	2.04731726646	0.635785520077	1.96228444576	1.84790229797	
