corner	conf-10.mol2	conf-1.mol2	conf-31.mol2	conf-11.mol2	conf-33.mol2	conf-63.mol2	conf-61.mol2	conf-2.mol2	tmp_ref.mol2	conf-41.mol2	conf-28.mol2	conf-34.mol2	conf-8.mol2	conf-73.mol2	conf-18.mol2	conf-25.mol2	conf-39.mol2	conf-43.mol2	conf-5.mol2	conf-19.mol2	
conf-10.mol2	0.0	1.66477584839	0.602845609188	1.04642891884	1.53264474869	4.21462345123	4.88822126389	4.41933012009	2.72779273987	3.3099398613	3.6359577179	3.78868126869	4.60039663315	4.0649061203	4.49532175064	2.21678233147	3.77196741104	2.53315711021	4.2537727356	4.4976143837	
conf-1.mol2	1.66477584839	0.0	1.23468160629	2.44258594513	2.08337402344	4.76154947281	4.3244304657	4.8785572052	1.68026971817	2.3023314476	2.70532393456	3.02952122688	4.24154472351	4.47539281845	4.24910449982	2.61321091652	4.02100753784	2.75457572937	3.8544986248	5.0352640152	
conf-31.mol2	0.602845609188	1.23468160629	0.0	1.33689916134	1.62654423714	4.37526082993	4.65857410431	4.5850982666	2.39519166946	2.9929523468	3.39613318443	3.62243676186	4.36946821213	4.17439365387	4.29636955261	2.28124475479	3.710293293	2.52674269676	4.1119017601	4.73068761826	
conf-11.mol2	1.04642891884	2.44258594513	1.33689916134	0.0	1.92820930481	4.27192020416	5.13284540176	4.53774166107	3.37777614594	3.79464221001	4.16571044922	4.31579875946	4.66507768631	4.18987846375	4.59302616119	2.47508358955	3.70369315147	2.80941414833	4.6611533165	4.55910205841	
conf-33.mol2	1.53264474869	2.08337402344	1.62654423714	1.92820930481	0.0	4.46903944016	4.59868001938	4.6661605835	2.49991941452	3.10101699829	3.51727461815	3.60661458969	4.41340398788	4.38429164886	4.64278554916	1.80191099644	4.08911037445	2.17609596252	4.54295063019	4.77383422852	
conf-63.mol2	4.21462345123	4.76154947281	4.37526082993	4.27192020416	4.46903944016	0.0	5.41922664642	0.918861329556	5.16285181046	5.0318274498	4.78901958466	4.79156446457	4.34084510803	1.18621337414	3.79457378387	4.1115899086	2.74977707863	4.01696062088	3.46572780609	1.45997858047	
conf-61.mol2	4.88822126389	4.3244304657	4.65857410431	5.13284540176	4.59868001938	5.41922664642	0.0	5.17889642715	4.11202430725	4.19904470444	4.27399873734	4.40213155746	2.85881853104	5.43431091309	3.78696393967	4.85216808319	4.84050750732	4.69749164581	3.69831395149	5.61075878143	
conf-2.mol2	4.41933012009	4.8785572052	4.5850982666	4.53774166107	4.6661605835	0.918861329556	5.17889642715	0.0	5.22766065598	5.10080718994	4.8598484993	4.93400192261	4.305311203	1.62506115437	3.8643591404	4.35671615601	3.00054049492	4.25289201736	3.05643987656	1.6347053051	
tmp_ref.mol2	2.72779273987	1.68026971817	2.39519166946	3.37777614594	2.49991941452	5.16285181046	4.11202430725	5.22766065598	0.0	1.45511460304	1.92535889149	2.15138554573	4.01138162613	4.89029502869	4.06308794022	2.726988554	4.53782939911	2.73013710976	4.10912227631	5.34125900269	
conf-41.mol2	3.3099398613	2.3023314476	2.9929523468	3.79464221001	3.10101699829	5.0318274498	4.19904470444	5.10080718994	1.45511460304	0.0	0.844368159771	1.23870193958	3.92171096802	4.65868997574	4.15970611572	2.6290512085	4.48538684845	2.47506833076	3.69307780266	4.93665313721	
conf-28.mol2	3.6359577179	2.70532393456	3.39613318443	4.16571044922	3.51727461815	4.78901958466	4.27399873734	4.8598484993	1.92535889149	0.844368159771	0.0	0.690086245537	4.06222391129	4.44639587402	4.26104068756	2.86165618896	4.62265205383	2.67215871811	3.53938364983	4.56177377701	
conf-34.mol2	3.78868126869	3.02952122688	3.62243676186	4.31579875946	3.60661458969	4.79156446457	4.40213155746	4.93400192261	2.15138554573	1.23870193958	0.690086245537	0.0	4.29032278061	4.4994225502	4.46890640259	2.88352537155	4.89526510239	2.70492482185	3.82725858688	4.52437210083	
conf-8.mol2	4.60039663315	4.24154472351	4.36946821213	4.66507768631	4.41340398788	4.34084510803	2.85881853104	4.305311203	4.01138162613	3.92171096802	4.06222391129	4.29032278061	0.0	4.10426568985	1.68113923073	4.17125701904	2.92328929901	3.90300822258	3.21675825119	5.10549068451	
conf-73.mol2	4.0649061203	4.47539281845	4.17439365387	4.18987846375	4.38429164886	1.18621337414	5.43431091309	1.62506115437	4.89029502869	4.65868997574	4.44639587402	4.4994225502	4.10426568985	0.0	3.56184744835	3.75033187866	2.36525797844	3.61676359177	3.39230895042	1.72350895405	
