corner	conf-2.mol2	tmp_ref.mol2	conf-3.mol2	conf-23.mol2	conf-29.mol2	conf-20.mol2	conf-11.mol2	conf-13.mol2	conf-31.mol2	conf-1.mol2	conf-30.mol2	conf-35.mol2	conf-5.mol2	conf-6.mol2	conf-17.mol2	conf-26.mol2	conf-9.mol2	conf-34.mol2	conf-28.mol2	conf-18.mol2	
conf-2.mol2	0.0	0.00974681135267	0.648882627487	2.24313926697	2.29701662064	1.04696929455	1.13100981712	1.14785635471	1.26678919792	1.60549116135	2.81142735481	2.13249516487	0.932145655155	0.993204295635	1.57995867729	2.77533888817	1.42883062363	1.46922075748	2.6339404583	1.52785539627	
tmp_ref.mol2	0.00974681135267	0.0	0.652984917164	2.24846386909	2.30256438255	1.04953610897	1.13575077057	1.1480755806	1.26777398586	1.60350525379	2.81639885902	2.13646364212	0.929736971855	0.990892469883	1.58147108555	2.78064131737	1.43289172649	1.47124624252	2.63809609413	1.52936089039	
conf-3.mol2	0.648882627487	0.652984917164	0.0	2.21674060822	2.25454235077	1.16736698151	0.900028526783	1.13424742222	1.18989515305	1.72248613834	2.67815279961	2.06540775299	1.26833987236	1.28837573528	1.68780088425	2.67402935028	1.38191330433	1.42455279827	2.50404858589	1.50074291229	
conf-23.mol2	2.24313926697	2.24846386909	2.21674060822	0.0	0.17101302743	1.87185454369	2.06857204437	2.14946961403	2.17257761955	2.42709803581	1.66730856895	1.09439957142	2.26683735847	2.26204633713	1.64232540131	1.06804156303	1.60554969311	1.65965867043	1.10555112362	2.01603150368	
conf-29.mol2	2.29701662064	2.30256438255	2.25454235077	0.17101302743	0.0	1.92264175415	2.09013199806	2.21689248085	2.2321703434	2.51253986359	1.55156540871	1.168394804	2.33802366257	2.33412265778	1.72213387489	0.924118757248	1.64635765553	1.72015523911	1.11779069901	2.08980798721	
conf-20.mol2	1.04696929455	1.04953610897	1.16736698151	1.87185454369	1.92264175415	0.0	1.46150887012	1.18038618565	0.831783294678	1.69075644016	2.62505269051	1.8586025238	1.10995829105	1.15570175648	1.39479649067	2.39755558968	0.890512406826	1.35075569153	2.2737929821	1.19452416897	
conf-11.mol2	1.13100981712	1.13575077057	0.900028526783	2.06857204437	2.09013199806	1.46150887012	0.0	1.60053789616	1.5817232132	2.12659358978	2.4339158535	2.07273888588	1.6718338728	1.68966913223	1.93605089188	2.50450563431	1.13474833965	1.6892991066	2.40392208099	1.44288301468	
conf-13.mol2	1.14785635471	1.1480755806	1.13424742222	2.14946961403	2.21689248085	1.18038618565	1.60053789616	0.0	0.738753318787	1.07666921616	2.92541146278	1.76945912838	0.685953557491	0.695086300373	1.43363082409	2.72140145302	1.54953408241	1.5558000803	2.46072340012	1.15585744381	
conf-31.mol2	1.26678919792	1.26777398586	1.18989515305	2.17257761955	2.2321703434	0.831783294678	1.5817232132	0.738753318787	0.0	1.41934561729	2.89842915535	1.85211634636	1.03869652748	1.05395495892	1.52801954746	2.68785095215	1.23947453499	1.55581569672	2.39593338966	0.905299186707	
conf-1.mol2	1.60549116135	1.60350525379	1.72248613834	2.42709803581	2.51253986359	1.69075644016	2.12659358978	1.07666921616	1.41934561729	0.0	3.20055270195	1.86859059334	1.12184512615	1.1164484024	1.68630254269	2.98449444771	2.08638191223	1.92930436134	2.65842175484	1.57048857212	
conf-30.mol2	2.81142735481	2.81639885902	2.67815279961	1.66730856895	1.55156540871	2.62505269051	2.4339158535	2.92541146278	2.89842915535	3.20055270195	0.0	2.14780926704	3.03788304329	3.040350914	2.33654904366	1.00917375088	2.40419626236	2.22700572014	1.75021326542	2.87062764168	
