corner	conf-16.mol2	tmp_ref.mol2	conf-43.mol2	conf-28.mol2	conf-12.mol2	conf-29.mol2	conf-27.mol2	conf-58.mol2	conf-46.mol2	conf-13.mol2	conf-44.mol2	conf-67.mol2	conf-73.mol2	conf-57.mol2	conf-35.mol2	conf-2.mol2	conf-49.mol2	conf-32.mol2	conf-56.mol2	conf-23.mol2	
conf-16.mol2	0.0	0.404974102974	0.753211915493	1.54802441597	0.675176143646	1.2205363512	1.3341370821	0.99047768116	1.41132569313	1.62476706505	1.0570076704	1.83444774151	1.99649178982	1.77354085445	1.40404140949	0.535764098167	1.48915374279	2.08046627045	1.47440433502	0.851634085178	
tmp_ref.mol2	0.404974102974	0.0	0.805827200413	1.51852047443	0.733157455921	1.24586057663	1.31919693947	0.993390738964	1.36542534828	1.69899141788	0.938660681248	1.90898239613	2.05257177353	1.84767913818	1.36140966415	0.590319573879	1.44303870201	2.05445504189	1.32253396511	0.79133784771	
conf-43.mol2	0.753211915493	0.805827200413	0.0	1.62171423435	0.79675501585	1.30779397488	1.49026560783	0.953565835953	1.51631450653	1.80655527115	1.09357011318	1.95497369766	2.06550431252	1.88703322411	1.44037485123	0.811836361885	1.38314402103	2.1017203331	1.27971589565	1.21379542351	
conf-28.mol2	1.54802441597	1.51852047443	1.62171423435	0.0	1.7208712101	0.858330607414	0.746769547462	1.25996613503	0.949578285217	2.03728842735	0.921134591103	1.85394978523	1.87193608284	2.00652003288	0.787871658802	1.39216649532	0.962160229683	1.41573297977	1.06774675846	1.60567975044	
conf-12.mol2	0.675176143646	0.733157455921	0.79675501585	1.7208712101	0.0	1.40350306034	1.56294739246	0.781108736992	1.36758255959	1.70659816265	1.22051274776	1.92040348053	2.07487535477	1.8002448082	1.34851312637	0.869813978672	1.54252684116	2.13394021988	1.47235369682	1.01179850101	
conf-29.mol2	1.2205363512	1.24586057663	1.30779397488	0.858330607414	1.40350306034	0.0	0.992503523827	1.0034160614	1.20728683472	1.94573485851	0.758438885212	1.80814111233	1.85659384727	1.85928630829	0.945962429047	1.16395258904	1.24143457413	1.51848113537	1.23785614967	1.27010023594	
conf-27.mol2	1.3341370821	1.31919693947	1.49026560783	0.746769547462	1.56294739246	0.992503523827	0.0	1.35741972923	0.6952470541	1.92365002632	1.11357033253	1.89448678493	1.93399691582	2.07310557365	1.0359994173	1.21058559418	0.728210330009	1.60352098942	0.93829035759	1.39054608345	
conf-58.mol2	0.99047768116	0.993390738964	0.953565835953	1.25996613503	0.781108736992	1.0034160614	1.35741972923	0.0	1.15400993824	1.7799475193	0.828728616238	1.72842371464	1.82278442383	1.69708192348	0.836767315865	0.983685791492	1.28533911705	1.73993992805	1.23722660542	1.2307908535	
conf-46.mol2	1.41132569313	1.36542534828	1.51631450653	0.949578285217	1.36758255959	1.20728683472	0.6952470541	1.15400993824	0.0	1.80839848518	1.21161544323	1.8171132803	1.8689904213	1.97882056236	0.760996341705	1.2999060154	0.656397461891	1.55042350292	0.857716083527	1.44466555119	
conf-13.mol2	1.62476706505	1.69899141788	1.80655527115	2.03728842735	1.70659816265	1.94573485851	1.92365002632	1.7799475193	1.80839848518	0.0	1.84814929962	0.727383077145	1.03989601135	0.763829827309	1.82714235783	1.70557296276	1.94293785095	1.59339642525	2.01795840263	1.90864539146	
conf-44.mol2	1.0570076704	0.938660681248	1.09357011318	0.921134591103	1.22051274776	0.758438885212	1.11357033253	0.828728616238	1.21161544323	1.84814929962	0.0	1.75971603394	1.79759609699	1.77028059959	0.904538333416	0.977856338024	1.25485873222	1.59623622894	1.1078414917	1.28800976276	
conf-67.mol2	1.83444774151	1.90898239613	1.95497369766	1.85394978523	1.92040348053	1.80814111233	1.89448678493	1.72842371464	1.8171132803	0.727383077145	1.75971603394	0.0	0.629013180733	0.563426315784	1.71953928471	1.86035084724	1.92804992199	1.34319806099	2.01096892357	2.11327290535	
conf-73.mol2	1.99649178982	2.05257177353	2.06550431252	1.87193608284	2.07487535477	1.85659384727	1.93399691582	1.82278442383	1.8689904213	1.03989601135	1.79759609699	0.629013180733	0.0	0.955236673355	1.74004149437	1.95498847961	1.96618103981	1.11104428768	2.06833100319	2.3132648468	
conf-57.mol2	1.77354085445	1.84767913818	1.88703322411	2.00652003288	1.8002448082	1.85928630829	2.07310557365	1.69708192348	1.97882056236	0.763829827309	1.77028059959	0.563426315784	0.955236673355	0.0	1.83228600025	1.86070537567	2.09487128258	1.53531193733	2.10943579674	2.0373737812	
conf-35.mol2	1.40404140949	1.36140966415	1.44037485123	0.787871658802	1.34851312637	0.945962429047	1.0359994173	0.836767315865	0.760996341705	1.82714235783	0.904538333416	1.71953928471	1.74004149437	1.83228600025	0.0	1.25348699093	0.945077776909	1.36404561996	1.06285130978	1.50947284698	
conf-2.mol2	0.535764098167	0.590319573879	0.811836361885	1.39216649532	0.869813978672	1.16395258904	1.21058559418	0.983685791492	1.2999060154	1.70557296276	0.977856338024	1.86035084724	1.95498847961	1.86070537567	1.25348699093	0.0	1.33133745193	1.94094908237	1.3526570797	1.02958619595	
conf-49.mol2	1.48915374279	1.44303870201	1.38314402103	0.962160229683	1.54252684116	1.24143457413	0.728210330009	1.28533911705	0.656397461891	1.94293785095	1.25485873222	1.92804992199	1.96618103981	2.09487128258	0.945077776909	1.33133745193	0.0	1.61061263084	0.596460282803	1.58927512169	
conf-32.mol2	2.08046627045	2.05445504189	2.1017203331	1.41573297977	2.13394021988	1.51848113537	1.60352098942	1.73993992805	1.55042350292	1.59339642525	1.59623622894	1.34319806099	1.11104428768	1.53531193733	1.36404561996	1.94094908237	1.61061263084	0.0	1.73047566414	2.1739449501	
conf-56.mol2	1.47440433502	1.32253396511	1.27971589565	1.06774675846	1.47235369682	1.23785614967	0.93829035759	1.23722660542	0.857716083527	2.01795840263	1.1078414917	2.01096892357	2.06833100319	2.10943579674	1.06285130978	1.3526570797	0.596460282803	1.73047566414	0.0	1.46782958508	
conf-23.mol2	0.851634085178	0.79133784771	1.21379542351	1.60567975044	1.01179850101	1.27010023594	1.39054608345	1.2307908535	1.44466555119	1.90864539146	1.28800976276	2.11327290535	2.3132648468	2.0373737812	1.50947284698	1.02958619595	1.58927512169	2.1739449501	1.46782958508	0.0	
